School Name,Program Type,22-23 Grades Served,Ward,Address,Head of School's Name,Email,Phone Number
Academy of Hope Adult PCS,"Literacy, GED Preparation, Computer Skills, Dual Enrollment; day and evening",Adult Education,"5, 8","2315 18TH PLACE NE, WASHINGTON, DISTRICT OF COLUMBIA 20018",Michael Durant,mdurant@aohdc.org,(202) 269-6623 x111
Achievement Preparatory Academy PCS - Wahler Place Elementary School and Digital Pioneers Academy PCS - Johenning/Lower School,Leadership Development,PK3-5,8,"908 WAHLER PLACE SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Samantha Granville,sgranville@achievementprep.org,(202) 562-1307
AppleTree Early Learning Center PCS - Columbia Heights,Early Childhood,PK3-PK4,1,"2750 14TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20009",Mike Jacobs,Mike.Jacobs@appletreeinstitute.org,(202) 667-9490
AppleTree Early Learning Center PCS - Douglas Knoll,Early Childhood,PK3-PK4,8,"2017 SAVANNAH TERRACE SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Aryika Calhoun,ayrika.calhoun@appletreeinstitute.org,(202) 667-9490
AppleTree Early Learning Center PCS - Lincoln Park,Early Childhood,PK3-PK4,6,"138 12TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Daisha Wise,daisha.wise@appletreeinstitute.org,(202) 667-9490
AppleTree Early Learning Center PCS - Oklahoma Avenue,Early Childhood,PK3-PK4,7,"330 21ST STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Terica Alleyne,terica.alleyne@appletreeinstitute.org,(202) 629-2179
AppleTree Early Learning Center PCS - Parklands at THEARC,Early Childhood,PK3-PK4,8,"1801 MISSISSIPPI AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Tara Young,tara.young@appletreeinstitute.org,(202 618-1565
AppleTree Early Learning Center PCS - Southwest,Early Childhood,PK3-PK4,6,"488 VIRGINIA AVENUE SW, WASHINGTON, DISTRICT OF COLUMBIA 20024",Shirvon Smith,shirvon.smith@appletreeinstitute.org,(202) 526-1503
BASIS DC PCS,Liberal Arts,12-May,2,"410 8TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20004",Alexander Rose-Henig,alexander.rose-henig@basised.com,(202) 384-3142
Breakthrough Montessori PCS,Montessori,PK3 - 5,4,"6923 WILLOW STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20012",Maria Carvajal,maria@breakthroughmontessori.org,(202) 864-1979
Bridges and Briya PCS,Early Childhood to Elementary; Special Education Focus,PK3 - 5,5,"100 GALLATIN STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20011",Kay Elaster,kelaster@bridgespcs.org,(202) 545-0515
Capital City PCS ,Arts Integration; Project-Based Learning,12-Sep,4,"100 PEABODY STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Deon Avery,deonavery@ccpcs.org,(202) 808-9800
Capital Village PCS,"Expeditionary Learning, Small School, and Personalized Learning",8-May,5,"705 EDGEWOOD STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Tameika Freeman,tfreeman@capitalvillageschools.org,(202) 938-1416
Carlos Rosario International PCS,"Literacy; English as a Second Language; Computer Skills; Culinary Arts, Nurse Aide, GED and Citizenship Preparation",Adult Education,"1, 5","1100 HARVARD STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20009",Holly-Ann Freso-Moore,hfreso@carlosrosario.org,(202) 797-4700 x4719
Cedar Tree Academy PCS,Early Childhood,PK3 - 2,8,"701 HOWARD ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Celenease Edison,Cedison@Cedartree-dc.org,(202) 610-4193
Center City PCS - Brightwood,Liberal Arts; Humanities,PK3 - 8,4,"6008 GEORGIA AVENUE NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Micah Westerman,mwesterman@centercitypcs.org,(202) 723-3322
Center City PCS - Capitol Hill,Liberal Arts; Humanities,PK3 - 8,6,"1503 EAST CAPITOL STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20003",Jacob Waites,jwaites@centercitypcs.org,(202) 547-7556
Center City PCS - Congress Heights,Liberal Arts; Humanities,PK3 - 8,8,"220 HIGHVIEW PLACE SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Niya White,nwhite@centercitypcs.org,(202) 562-7070
Center City PCS - Petworth,Liberal Arts; Humanities,PK3 - 8,4,"510 WEBSTER STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Fatima Smith,fsmith@centercitypcs.org,(202) 726-9212
Center City PCS - Shaw,Liberal Arts; Humanities,PK4 - 8,2,"711 N STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20001",Kimberly Fuller,kfuller@centercitypcs.org,(202) 234-1093
Center City PCS - Trinidad,Liberal Arts; Humanities,PK3 - 8,5,"1217 WEST VIRGINIA AVENUE NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Brandy Tyson,btyson@centercitypcs.org,(202) 397-1614
Cesar Chavez PCS for Public Policy,Public Policy,12-Jun,7,"3701 HAYES STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Sanjay Mitchell,sanjay.mitchell@chavezschools.org,(202) 398-2230
Community College Preparatory Academy PCS,HVAC Training; National Customer Service; Computer Skills; CompTIA Help Desk; Microsoft Office Suite; Dual College Enrollment,Adult Education,8,"2405 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Wallace Henry,wallace@ccprep-academy.org,(202) 770-3252 x213
Creative Minds International PCS,International Education; Inclusion; Arts Education/Integration,PK3 - 8,5,"3700 NORTH CAPITOL STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Nayamka Long,nayamka.long@creativemindspcs.org,(202) 588-0370 x123
DC Bilingual PCS,"Dual Language; Arts Integration; Science, Technology, Engineering, Mathematics (STEM) Focus",PK3 - 5,5,"5301 NORTH CAPITOL STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20011",Eleni McCabe,emccabe@dcbilingual.org,(202) 750-6674
DC Prep PCS - Anacostia Elementary School,Interdisciplinary Curriculum,PK3 - 3,8,"1409 V STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Katie Kuzma,kkuzma@dcprep.org,(202) 729-3500
DC Prep PCS - Anacostia Middle School,Interdisciplinary Curriculum,6-Apr,8,"2330 POMEROY ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Brooke Jones,bjones@dcprep.org,(202) 729-3500
DC Prep PCS - Benning ,Interdisciplinary Curriculum,8-Apr,7,"100 41ST STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Devin Ray,dray@dcprep.org,(202) 396-3780
DC Prep PCS - Edgewood,Interdisciplinary Curriculum,PK3 - 3,5,"707 EDGEWOOD STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Janee Easley,jeasley@dcprep.org,(202) 635-4411
