X,Y,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,PK3,PK4,UN_CE,FACILITY_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-8573618.744,4704428.918,Amidon-Bowen Elementary School,401 I STREET SW,Elementary School,ES,Active,202-724-4867,254, ,dcps_203,http://profiles.dcps.dc.gov/Amidon-Bowen+Elementary+School,203,203,N,438,1960,70800,400,-77.0181253,38.8795154,2024-2025,District of Columbia Public Schools,1,Amidon-Bowen Elementary School,203,PK3-5th,294482,398427.29,134631.47,20024,,,,DGS_0566.0,{B426097E-E020-40A5-90F7-66DA80F22B8C},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1298
-8569717.212,4703080.342,Anacostia High School,1601 16TH STREET SE,High School,HS,Active,202-698-2155,784, ,dcps_450,http://profiles.dcps.dc.gov/anacostia,450,450,N,1040,1935,247900,1100,-76.98307725,38.87008406,2024-2025,District of Columbia Public Schools,1,Anacostia High School,450,9th-12th,155922,401468.56,133584.5,20020,,,,DGS_0324.0,{7A99F134-5ABB-4DCA-BCCD-A4B72E6680AB},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1299
-8571752.717,4698567.192,Ballou High School,3401 4TH STREET SE,High School,HS,Active,202-645-3400,910, ,dcps_452,http://www.balloudc.org/,452,452,N,1565,1960,271300,1200,-77.0013625,38.83851166,2024-2025,District of Columbia Public Schools,1,Ballou High School,452,9th-12th,294567,399881.71,130079.64,20032,,,,DGS_0519.0,{F4BDABC9-7AEF-49ED-9D38-EA4C457FC7E5},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1365
-8576115.437,4712268.672,Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,ES,Active,202-673-7280,463,,dcps_204,http://www.bancroftelementary.org,204,,,,,,,-77.040553,38.934318,2024-2025,District of Columbia Public Schools,1,Bancroft Elementary School,204,PK3-5th,294528,396483.93,140715.67,20010,,,,DGS_0343.0,{9B4D11E8-F011-4D4F-9029-951641815323},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1300
-8570058.872,4699491.477,Bard High School Early College DC,1351 ALABAMA AVENUE SE,High School/Specialized,HS,Active,202-898-4664,,,dcps_982,https://www.myschooldc.org/schools/profile/415,,,N,,,,,-76.986147,38.844979,2024-2025,District of Columbia Public Schools,1,Bard High School Early College DC,1058,9th-12th,289201,401202.63,130797.63,20032,,,,,{B3C99C04-2A73-44B5-B233-858168B25A73},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1301
-8573579.98,4714259.879,Barnard Elementary School,430 DECATUR STREET NW,Elementary School,ES,Active,202-576-1100,482, ,dcps_205,http://www.myschooldc.org/schools/profile/7/,205,205,N,387,2003,,,-77.01777708,38.94823095,2024-2025,District of Columbia Public Schools,1,Barnard Elementary School,205,PK3-5th,248305,398458.99,142259.46,20011,,,,DGS_0605.0,{8233B4CD-DD8C-4EF0-B33A-6AB8967817AA},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1302
-8566658.986,4702260.5,Beers Elementary School,3600 ALABAMA AVENUE SE,Elementary School,ES,Active,202-939-4800,386, ,dcps_206,http://profiles.dcps.dc.gov/Beers+Elementary+School,206,206,N,448,1942,77500,400,-76.95560475,38.86434984,2024-2025,District of Columbia Public Schools,1,Beers Elementary School,206,PK3-5th,278406,403852.94,132948.76,20020,,,,DGS_0535.0,{7F0BAE11-7615-4905-AADA-751C1B0627B5},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1303
-8574397.495,4709096.475,Benjamin Banneker High School,1600 9TH STREET NW,High School/Specialized,HS,Active,202-671-6320,413, ,dcps_402,http://www.benjaminbanneker.org/,402,402,N,620,1939,180000,500,-77.025121,38.912148,2024-2025,District of Columbia Public Schools,1,Benjamin Banneker High School,402,9th-12th,334680,397821.28,138254.13,20001,,,,DGS_0737.0,{0CF5EF91-F643-4B73-B88E-1307226DE682},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1304
-8568695.228,4703435.019,Boone Elementary School,2200 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6240,308, ,dcps_291,http://www.orrelementary.org/,291,291,N,,,,,-76.97389661,38.8725643,2024-2025,District of Columbia Public Schools,1,Boone Elementary School,291,PK3-5th,294539,402265.18,133860.05,20020,,,,DGS_0182.0,{993F5321-7858-42AE-8E3D-EF50C4D1F51A},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/24 14:49:38+00,1305
-8571763.554,4705184.807,Brent Elementary School,301 NORTH CAROLINA AVENUE SE,Elementary School,ES,Active,202-698-3363,347, ,dcps_212,http://brentelementary.org/,212,212,N,276,1968,47500,325,-77.00145985,38.88480121,2024-2025,District of Columbia Public Schools,1,Brent Elementary School,212,PK3-5th,294479,399873.34,135218.08,20003,,,,DGS_0504.0,{0309A64E-FD91-4DA7-9266-5D11ECB8DC0A},JLAY,2023/08/03 17:37:06+00,JLAY,2023/08/03 17:37:06+00,1306
