NAME.x,SRTS
Amidon-Bowen Elementary School,0
Anacostia High School,0
Ballou High School,0
Bancroft Elementary School,0
Bard High School Early College DC,0
Barnard Elementary School,1
Beers Elementary School,0
Benjamin Banneker High School,0
Boone Elementary School,0
Brent Elementary School,0
Brightwood Elementary School,0
Brookland Middle School,0
Browne Education Campus,0
Bruce-Monroe Elementary School @ Park View,0
Bunker Hill Elementary School,0
Burroughs Elementary School,1
Burrville Elementary School,1
C.W. Harris Elementary School,1
Capitol Hill Montessori,0
Cardozo Education Campus,0
Cleveland Elementary School,1
Columbia Heights Education Campus 6–12 (CHEC),0
Coolidge High School,0
Deal Middle School,0
Dorothy I. Height Elementary School,1
Drew Elementary School,0
Duke Ellington School of the Arts,0
Dunbar High School,0
Eastern High School,0
Eaton Elementary School,1
Eliot-Hine Middle School,0
Excel Academy,0
Garfield Elementary School,0
Garnet-Patterson STAY High School,0
Garrison Elementary School,0
H.D. Cooke Elementary School,0
Hardy Middle School and Filmore Arts Center (West),1
Hart Middle School,1
Hearst Elementary School,0
Hendley Elementary School,0
Houston Elementary School,1
Hyde-Addison Elementary School,0
Ida B. Wells Middle School,0
Inspiring Youth Program,0
J.O. Wilson Elementary School,0
Jackson-Reed High School (formerly Wilson HS),0
Janney Elementary School,1
Jefferson Middle School Academy,1
John Francis Education Campus,0
John Lewis Elementary School,0
Johnson Middle School,0
Kelly Miller Middle School,0
Ketcham Elementary School,1
Key Elementary School,0
Kimball Elementary School,0
King Elementary School,1
Kramer Middle School,0
Lafayette Elementary School,0
Langdon Elementary School,0
Langley Elementary School,1
LaSalle-Backus Elementary School,0
Leckie Education Campus,0
Lorraine H. Whitlock Elementary School,0
Ludlow-Taylor Elementary School,0
Luke C. Moore High School,0
MacArthur High School,0
MacFarland Middle School,0
Malcolm X Elementary School @ Green,0
Mann Elementary School,0
Marie Reed Elementary School,0
Maury Elementary School,0
McKinley Middle and High School,0
Military Road Early Learning Center,0
Miner Elementary School,0
Moten Elementary School,0
Murch Elementary School,0
Nalle Elementary School,0
Noyes Elementary School,0
Oyster-Adams Bilingual School (Adams),0
Oyster-Adams Bilingual School (Oyster),0
Patterson Elementary School,0
Payne Elementary School,0
Peabody Elementary School,0
"Phelps Architecture, Construction, and Engineering High School",0
Plummer Elementary School,1
Powell Elementary School,1
Randle Highlands Elementary School,0
Raymond Elementary School,0
River Terrace Education Campus,1
Ron Brown College Preparatory High School,0
Roosevelt High School,0
Ross Elementary School,1
Savoy Elementary School,0
School Without Walls High School,0
School-Within-School,0
Seaton Elementary School,0
Shepherd Elementary School,1
Shirley Chisholm Elementary School,0
Simon Elementary School,0
Smothers Elementary School,0
Sousa Middle School,0
Stanton Elementary School,0
Stevens Early Learning Center,1
Stoddert Elementary School,1
Stuart-Hobson Middle School,0
Takoma Elementary School,0
